"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"755413","JC464299","2019-10-08T07:25:00","1","DRIVER",,"717564",,"FORD","FORD-TRUCK,VAN,SUV, ETC","IL","2017","NONE","VAN/MINI-VAN","PERSONAL","SW","TURNING LEFT",,,"1",,,,,"true",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755414","JC464299","2019-10-08T07:25:00","2","DRIVER",,"717570",,"HONDA","CIVIC","IL","2019","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","true",,"1",,"private","private",,,,,,,,,"true",,,,,,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755411","JC464296","2019-10-08T07:25:00","1","DRIVER",,"717558",,"KENWORTH MOTOR TRUCK CO.","KENWORTH MOTOR TRUCK CO.","IL","2006","NONE","OTHER","OTHER","S","STRAIGHT AHEAD",,,"1",,,,"true",,,,,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755412","JC464296","2019-10-08T07:25:00","2","DRIVER",,"717562",,"JEEP","CHEROKEE","IL","2019","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756795","JC467025","2019-10-08T07:15:00","1","DRIVER",,"718872",,"FORD","F150","IL","2017","UNKNOWN","PICKUP","PERSONAL","E","TURNING LEFT",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756796","JC467025","2019-10-08T07:15:00","2","DRIVER",,"718867",,"VOLKSWAGEN","JETTA","IL","2011","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755797","JC465074","2019-10-08T07:15:00","2","DRIVER",,"717908",,"TOYOTA MOTOR COMPANY, LTD.","COROLLA","IL","2014","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"true","true",,,,,,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756013","JC464415","2019-10-08T07:15:00","1","DRIVER",,"718128",,"HONDA","UNKNOWN","IL","2016","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756014","JC464415","2019-10-08T07:15:00","2","DRIVER","2","718130",,"BUICK","LACROSSE","IL","2010","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"3",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755615","JC464326","2019-10-08T07:15:00","1","DRIVER","4","717743",,"LINCOLN-CONTINENTAL","MKZ","IL","2016","NONE","PASSENGER","RIDESHARE SERVICE","S","MERGING","true",,"5",,"city of chicago","321 E. Lower Wacker Drive",,,,"true",,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
